,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
115,NELSON GONCALVES DE MORAIS FRANCISCO DUQUE,J,"AV GENERAL OLIMPIO MOURAO FILHO,307",BELO HORIZONTE / MG,3130474790,23.192.394/0001-22,26204100092,,PLANALTO,SALA 03,31720200,Ativo / Ativo,,,
116,PNEUSOLA RECAPAGEM LTDA-EPP,J,"R VIANA DO CASTELO,1111",BELO HORIZONTE / MG,3133117766,08.594.268/0002-91,10290590108,,SAO FRANCISCO,A,31255160,Ativo / Ativo,,,
117,EMIVE PATRULHA 24 HORAS LTDA,J,"AV AVENIDA RAJA GABAGLIA - DE 2563 A 3385 - LADO IMPAR,3079",BELO HORIZONTE / MG,3132985151,02.059.753/0001-06,629900640038,,SAO BENTO,,30350563,Ativo / Ativo,emive@emive.com.br,,
118,NOVO CERRADO COMERCIAL TEXTIL - EIRELI,J,"R ANTONIO FREDERICO,245",SAO PAULO / SP,1120613526,22.597.032/0001-59,144660888113,,VILA INDEPENDENCIA,,4224030,Ativo / Ativo,,,
119,BB CHURRASCARIA E RESTAURANTE S A,J,"AV AVENIDA RAJA GABAGLIA - DE 2003 A 2561 - LADO IMPAR,2271",BELO HORIZONTE / MG,31991792972,27.375.488/0001-98,29361010034,,SAO BENTO,,30350453,Ativo / Ativo,,,
120,FERRAZ CONFECCOES LTDA,J,"RUA RUA: VIVIL KOZUCHOVSKI,1110",SOMBRIO / SC,4835334412,06.190.682/0001-29,254747396,,SAO LUIZ,2 ANDAR,88960000,Ativo / Inativo,ferrazconf@hotmail.com,,
121,FERRERO COMERCIO E CONFECCOES LTDA,J,"R R ESTADOS UNIDOS,1195",CURITIBA / PR,4130154047,10.697.259/0001-97,9047350279,,BACACHERI,,82510050,Ativo / Inativo,vanessa@grupoferrero.com.br,,
122,GERARDO ANDRADE FREITAS,J,"R R BULGARIA,913",FORTALEZA / CE,85999959621,01.291.551/0001-14,69733481,,VILA MANOEL SATIRO,,60713500,Ativo / Inativo,cenalivre@gmail.com,,
123,GRIFFITY CONFECCOES LTDA,J,"RUA 45 ESQ. C/ RUA 3,0",ITAPURANGA / GO,62999924908,15.063.867/0001-63,105257494,,VILA BARRINHA,QUADRA: 16,LOTE: 01,SALA: 2,,,
124,GUILHERME VINICIUS DA SILVA COSTA CPF 098.100.596-98,J,"R ANITA GARIBALDI,1020",DIVINOPOLIS / MG,3732211764,31.561.680/0001-46,32801890090,,CATALAO,,35501208,Ativo / Bloqueado,financeiroontrendbr@gmail.com,,
125,H. A. GONCALVES ARAUJO,J,"R R MANOEL LUCAS DE ARAUJO,630",SANTA CRUZ DO CAPIBARIBE / PE,9937312152,04.805.200/0001-72,28767527,,CRUZ ALTA,TERREO,55195196,Ativo / Inativo,luizgoncalvesaraujo@hotmail.com,,
126,HAT TRICK COMERCIO DE ARTIGOS DO VESTUARIO LTDA,J,"R R CORUPA,100",JOINVILLE / SC,4730295208,21.303.264/0001-94,257536400,,ANITA GARIBALDI,,89203620,Ativo / Inativo,julio.laurindo@usehattrick.com.br,,
127,BERCAMP TEXTIL LTDA,J,"AV NAMI AZEM,940",JUNDIAI / SP,1145849944,00.225.205/0001-75,407404704110,,JARDIM CAXAMBU,,13218640,Ativo / Ativo,,,
128,JOSE GERALDO DOS SANTOS 57307636620,J,"R JOSE TAVARES FILHO,231",IBIRITE / MG,3135984755,29.441.819/0001-76,31104210029,,MARILANDIA,SALA,32404721,Ativo / Ativo,,,
129,STRATUS COMERCIAL TEXTIL LTDA EPP,J,"ROD JORGE LACERDA,1270",ITAJAI / SC,4730457429,05.340.629/0002-85,257239154,,ESPINHEIROS,SALA 11,88317100,Ativo / Ativo,vendas@stratustextil.net,,
130,INDUSTRIAS TEXTEIS SUECO LTDA,J,"ROD BR-101,112",ITAJAI / SC,4733446053,62.781.778/0015-38,255072732,,SALSEIROS,700 KM SALA 03,88311600,Ativo / Ativo,,,
131,IDOLATRIA MANUFATURA DE ROUPAS LTDA,J,"R R SAO PAULO,1850",DIVINOPOLIS / MG,3732146487,04.246.555/0001-79,2231139490037,,SANTO ANTONIO,LOJA E SOBRE-LOJA,35502036,Ativo / Inativo,idolatria@idolatria.com.br,,
132,NESTLE BRASIL LTDA,J,"ROD BR-356,3049",BELO HORIZONTE / MG,8007777737,60.409.075/0216-64,17611430718,,BELVEDERE,PISO MARIANA LOJA 4041,30320900,Ativo / Ativo,,,
133,ALL MIDIA COMERCIAL IMPORTACAO E EXPORTACAO EIRELI,J,"R FRANCA,325",BELO HORIZONTE / MG,3133143400,04.437.237/0001-95,621265830095,,NOVA GRANADA,,30431380,Ativo / Ativo,allmidia.nfe@gmail.com,,
134,INC INDUSTRIA E COMERCIO LTDA,J,"AV R PITANGUI,620",DIVINOPOLIS / MG,3732145866,02.051.030/0001-52,2237180170080,,BOM PASTOR,GALPAO,35500970,Ativo / Ativo,compras@drazzo.com.br,,
135,BRASTEX S A,J,"R MANOEL RUFINO DA SILVA,251",JOAO PESSOA / PB,8321070500,09.258.807/0001-01,160564956,,JOAO PAULO II,,58076005,Ativo / Ativo,,,
136,UNIFI DO BRASIL LTDA,J,"AV ALBERTO VIEIRA ROMAO,1717",ALFENAS / MG,3532995000,03.013.973/0007-49,161981590240,,DISTRITO INDUSTRIAL,,37135516,Ativo / Ativo,,,
137,NIT FIACAO E COMERCIO LTDA,J,"AV TRES,",TRES LAGOAS / MS,6721053850,13.828.498/0001-27,283704330,,DISTRITO INDUSTRIAL,LT. 5 E 6 - QD 9,79601970,Ativo / Ativo,,,
138,MILTON RIBEIRO REPRESENTACOES LTDA,J,"RUA R ZILDENIA,1166",EUSEBIO / CE,85998562224,07.954.886/0001-51,ISENTO,,COITE,SALA  03-F02,61760000,Ativo / Ativo,luizcesarep@yahoo.com.br,,
139,MALIBER INDUSTRIA E COMERCIO TEXTIL LTDA,J,"ROD ESTR MUN LAZARA M DA S BERTONI,1900",ITATIBA / SP,1145349750,47.938.840/0001-63,382020625110,,DA POSSE,KM 108,13252800,Ativo / Ativo,,,
140,RQ INDUSTRIA E COMERCIO DE CONFECCOES LTDA,J,"RUA ROD SC 283,0",SAO CARLOS / SC,4933251700,18.650.225/0001-59,257116311,,CENTRO,KM 138,89885000,Ativo / Ativo,ogochi@ogochi.com.br,,
141,FIACAO ALPINA LTDA,J,"AV SAUDADE,197",MORUNGABA / SP,1140144114,49.418.890/0001-45,468001896112,,SAO BENEDITO,,13260000,Ativo / Ativo,,,
142,MARIA LETICE SANTOS DA CRUZ,J,"R R RIBEIRO LEITAO,367",FORTALEZA / CE,8532901219,04.092.589/0001-56,63025744,,JOQUEI CLUBE,A,60520470,Ativo / Ativo,k2camisaria@hotmail.com,,
143,UMEN INDUSTRIA E COMERCIO EIRELI,J,"R R JOSE PAULINO,140",SAO PAULO / SP,11976834301,71.617.039/0001-09,113638073111,,BOM RETIRO,,1120000,Ativo / Bloqueado,producao@umen.com.br,,
144,SANTOS CONDORI QUISPE 23411451831,J,"R R PARAIBA,159",SAO PAULO / SP,11969887459,26.508.230/0001-50,141438321119,,BRAS,,3013030,Ativo / Ativo,wfaccins@gmail.com,,
145,INDUSTRIA E COMERCIO DE CONFECCOES VISUAL LTDA,J,"R AV DAS INDUSTRIAS,160",CRICIUMA / SC,4830454799,09.374.892/0001-65,255562560,,CRISTO REDENTOR,,88815526,Ativo / Inativo,daniela.netto@grupovisual.ind.br,,
146,IRMAOS ADJIMAN INDUSTRIA E COMERCIO - EIRELI,J,"R R PALMORINO MONACO,860",SAO PAULO / SP,1132374844,43.814.037/0001-66,109039179119,,BRAS,LOJA  1                         E R V PARNAIBA 1178 LOJA  4,3043000,Ativo / Ativo,extra@eybercontabilidade.com.br,,
147,JOAO BATISTA BARTOLOMEU JUNIOR,J,"RUA R ERNESTO MONFARDINI,210",ESPIRITO SANTO DO PINHAL / SP,1936511184,15.833.393/0001-91,530038029119,,JARDIM DAS ROSAS,,13990000,Ativo / Ativo,joaobartolomeu_i@hotmail.com,,
148,VILMAR CUSTODIO DIAS - REPRESENTACOES,J,"R R FELICIANO DE MORAIS,893",UBERLANDIA / MG,34999768738,02.715.239/0001-73,ISENTO,,NOSSA SENHORA APARECIDA,,38400684,Ativo / Ativo,vilmardias62@gmail.com,,
149,RENATO REPRESENTACAO LTDA,J,"R R 15 DE AGOSTO - VILA SILVA,13",BELEM / PA,9133517646,05.165.240/0001-60,ISENTO,,CRUZEIRO - ICOARACI,,66810070,Ativo / Ativo,textiljunior@ig.com.br,,
150,MAIA E VIANA REPRESENTACOES LTDA,J,"R R CASTELO DE FARO,50",BELO HORIZONTE / MG,31999736680,01.088.694/0001-23,ISENTO,,CASTELO,APT: 301,31330260,Ativo / Ativo,adelson_viana@yahoo.com.br,,
151,F A MOREIRA ASSESSORIA E REPRESENTACOES LTDA,J,"R R ANTONIO BICUDO,330",SAO PAULO / SP,11991782946,68.471.028/0001-40,ISENTO,,PINHEIROS,APTO 111,5418010,Ativo / Ativo,f.a.moreira55@gmail.com,,
153,N.JACOMEL LTDA,J,"AV REPUBLICA ARGENTINA,2510",CURITIBA / PR,4299151885,80.225.451/0001-66,ISENTO,,PORTAO,LJ 02 ANDAR TR COND NASPOLINI CMRL CT CD,80610260,Ativo / Inativo,njacomel2@yahoo.com,,
154,FILTEXTIL REPRESENTACOES LTDA,J,"R R SANTA JULIANA,155",BELO HORIZONTE / MG,31974007285,16.821.834/0001-06,ISENTO,,SALGADO FILHO,,30550220,Ativo / Ativo,marcelojuniotextil@gmail.com,,
156,REGDAN CONSULTORIA DE VENDAS LTDA,J,"R R PRIMEIRO DE MAIO,780",PRAIA GRANDE / SP,11985034037,28.445.904/0001-40,ISENTO,,MIRIM,,11704710,Ativo / Ativo,representanteemanuel@gmail.com,,
157,TFB REPRESENTACOES LTDA,J,"RUA VIA VICINE,",NOVA VENEZA / GO,62992923186,01.501.174/0001-09,ISENTO,,CHACARAS RECANTO DI VENEZA,QUADRA 05 LOTE 8/9,75470000,Ativo / Ativo,tfbrepres.betania@gmail.com,,
158,FISCHER & BARBOSA LTDA,J,"R AGUANIL,31",RECIFE / PE,81981870077,02.400.336/0001-77,ISENTO,,JARDIM SAO PAULO,********,50910400,Ativo / Ativo,fischertextil@gmail.com,,
159,MORITZ REPRESENTACOES LTDA,J,"R R SETE DE SETEMBRO,56",BRUSQUE / SC,4733506909,05.310.733/0001-46,ISENTO,,SANTA RITA,SALA 03 ED. ORLEANS,88352000,Ativo / Ativo,representacaomoritz@gmail.com,,
160,LMK REPRESENTACOES EIRELI,J,"R R 25 DE AGOSTO,860",BLUMENAU / SC,47991370389,28.571.136/0001-70,ISENTO,,ITOUPAVA NORTE,,89053300,Ativo / Ativo,lu.vendamoda@hotmail.com,,
161,ZILMA TEIXEIRA DE LIMA REPRESENTACOES,J,"R DESEMBARGADOR DARIO LINS,95",BELO HORIZONTE / MG,21998058531,27.688.120/0001-80,ISENTO,,NOVA SUISSA,APTO 702,30421102,Ativo / Ativo,pauladocarmo533@hotmail.com,,
162,V J V TECIDOS LTDA,J,"R R JOSE DANTAS DE LIMA,442",PARANAVAI / PR,4434231136,33.654.006/0001-31,9081475889,,JARDIM IPE,,87707220,Ativo / Ativo,foxtebasa@hotmail.com,,
163,MARIA ANDREA ARAGAO TORRES,J,"R R DOUTOR SILVIO MONTEIRO,47",SANTA CRUZ DO CAPIBARIBE / PE,8137311596,09.331.495/0001-06,36199907,,CENTRO,51 TERREO E 1 ANDAR,55192280,Ativo / Ativo,pernambucotextil@hotmail.com,,
164,MERCANTIL LIMA LTDA,J,"R R RAIMUNDO FRANCELINO ARAGAO,63",SANTA CRUZ DO CAPIBARIBE / PE,8137311079,00.188.962/0001-16,20545312,,CENTRO,TERREO E 1 ANDAR,55192030,Ativo / Ativo,mercantillima16@gmail.com,,
165,ROMULO MORAIS DE ARAUJO,J,"R R JEQUIRICA,133",BELO HORIZONTE / MG,3191615806,11.105.868/0001-72,13779470063,,CONCORDIA,,31110840,Ativo / Ativo,vendasromulo@gmail.com,,
166,VILMA ALVES MAGALHAES RAMOS,J,"R AV Z,390",GOIANIA / GO,6232111535,13.580.641/0001-04,105010480,,SETOR CENTRO OESTE,QUADRA09                  LOTE  07                  SALA  03,74550015,Ativo / Inativo,itajeansgoiana@gmail.com,,
167,CONVES ROUPAS LTDA,J,"RUA EURICO SOUZA CAMPOS,147",SAO JOAO NEPOMUCENO / MG,32999941751,19.511.799/0001-09,6294485880052,,CIDADE NOVA,GALPAO: B,,36680000,Ativo / Ativo,,
168,JOSE GIRLAN DOS SANTOS,J,"RUA R LOURO PAULO,0",CUPIRA / PE,81998645971,34.051.071/0001-35,83482601,,CAIXA DAGUA,,55460000,Ativo / Bloqueado,sscontabeis@yahoo.com.br,,
169,RAPHY INDUSTRIA TEXTIL LTDA,J,"AV GIOVANNI GABRIELLI,641",CAIEIRAS / SP,1136581800,61.158.531/0001-00,239172579111,,LARANJEIRAS,LOTE  4                   QUADRAB,7747200,Ativo / Inativo,odilsonmagro@raphy.com.br,,
170,R. MARINHO MALHAS - EIRELI,J,"R R DA PENHA,21",RECIFE / PE,8137224344,03.413.165/0005-07,59318279,,SANTO ANTONIO,,50020580,Ativo / Inativo,danfecar@grupomarinho.com.br,,
171,SERIKAWA CONFECCOES LTDA,J,"R AV RIO GRANDE DO SUL,1410",DIVINOPOLIS / MG,3732221178,20.211.803/0001-00,23553020091,,CENTRO,,35500025,Ativo / Inativo,thullioserikawa@gmail.com,,
172,GABY PINK INDUSTRIA E COMERCIO DE CONFECCOES LTDA,J,"R CONEGO DE CASTRO,2282",FORTALEZA / CE,8532928786,07.074.400/0001-90,66985641,,VILA PERY,,60730062,Ativo / Inativo,josetimbo@yahoo.com.br,,
173,G. V. BRONZATTI,J,"PC PC PADRE LONGINO VASTBINDER,201",MOGI GUACU / SP,19988818888,05.845.550/0001-25,455052441113,,VILA PARAISO,,13843017,Ativo / Inativo,jrreptextil@hotmail.com,,
174,TG TRANSPORTES GERAIS E DISTRIBUICAO LTDA,J,"R R VIANA DO CASTELO,1007",BELO HORIZONTE / MG,3131152700,03.562.929/0001-00,621005220076,,SAO FRANCISCO,,31255160,Ativo / Inativo,solucoes.bhz@tgtransportes.com.br,,
175,TRANSPORTADORA AMERICANA LTDA,J,"R R SETE,290",CONTAGEM / MG,3121044200,43.244.631/0007-54,7028914720048,,RIACHO DAS PEDRAS,,32242190,Ativo / Ativo,filbho@serv-01.ez-bh.com.br,,
176,EXPRESSO M-2000 LTDA,J,"ROD BR-381 FERNAO DIAS,0",BETIM / MG,3133920129,26.341.222/0001-61,1866419610047,,DSTRITO INDUSTRIAL JARDIM PIEMONT,"KM 483,3 GALPAO 5 PISTA NORTE",32630002,Inativo / Inativo,marlene@expressom2000.com.br,,
177,BORR LOG TRANSPORTES - EIRELI,J,"R R ANTONIO JOSE DE CARVALHO,350",BELO HORIZONTE / MG,3133278301,17.550.322/0001-07,20963700006,,CAICARAS,,30750620,Ativo / Inativo,odinbh@yahoo.com.br,,
178,LAZZARI INDUSTRIA E COMERCIO DE CONFECCOES LTDA,J,"RUA R VISCONDE DE PELOTAS,1409",FAGUNDES VARELA / RS,5434451072,20.111.303/0001-99,2740004030,,LOTEAMENTO INDUSTRIAL,PAVILHAO INDUSTRIAL,95333000,Ativo / Inativo,janete@bellomo.in.br,,
179,CHRISTINI ARTEFATOS TEXTEIS LTDA,J,"RUA R ANGELO FERRARI,80",PEDREIRA / SP,1938935483,07.231.204/0001-82,519097227118,,CIDADE NOVA,,13920000,Ativo / Inativo,comercial@christiniartefatti.com,,
180,SLKS COMERCIO DE ARTIGOS DE MODA EIRELI .,J,"AV AV BRIGADEIRO FARIA LIMA,2232",SAO PAULO / SP,1130858900,09.028.217/0001-84,149787060114,,JARDIM PAULISTA,"LOJA S-01, PISO 02",1489900,Ativo / Inativo,priscilla.alves@sergiok.com.br,,
182,BANCO SANTANDER (BRASIL) S.A.,J,"AV AV PRESIDENTE JUSCELINO KUBITSCHEK,2041",SAO PAULO / SP,993210710,90.400.888/0001-42,,,VILA OLIMPIA,E 2235 - BLOCO A,4543011,Ativo / Inativo,pedido@designtextecidos.com.br,,
183,BANCO BRADESCO S.A.,J,"R NUC CIDADE DE DEUS,0",OSASCO / SP,3132933146,60.746.948/0001-12,ISENTO,,VILA YARA,,6029900,Ativo / Ativo,,,
184,ITAU UNIBANCO S.A.,J,"EMP. PC ALFREDO EGYDIO DE SOUZA ARANHA 100,0",SAO PAULO / SP,3130044815,60.701.190/0001-04,ISENTO,,PARQUE JABAQUARA,TORRE OLAVO SETUBAL,4344902,Ativo / Ativo,financeiro@designtextecidos.com.br,,
185,EUROTEXTIL COMERCIO E IMPORTACAO LTDA,J,"AV DARLY SANTOS,2223",VILA VELHA / ES,2733207474,05.038.925/0001-45,82154880,,JARDIM ASTECA,,29104491,Ativo / Ativo,recepcao@eurotextil.com.br,,
186,PINTEPOXI LTDA,J,"ROD RODOVIA BR-040 - DO KM 505,002 AO KM 507,000 - LADO PAR,0",RIBEIRAO DAS NEVES / MG,3133618009,02.577.792/0001-97,1867438210076,,VALE DA PRATA,SERAO UTILIZADAS AS UNIDADES 178 179 180 181 182,33825612,Ativo / Ativo,processos@contajul.com,,
187,MADEIREIRA PALOWA LTDA,J,"ROD BR-040,",CONTAGEM / MG,3133947688,25.490.137/0007-98,626074280702,,MORADA NOVA,KM 690,32145480,Ativo / Ativo,nfe@palowa.com.br,,
188,ETIQUETADORA AMARAL LTDA,J,"R ANTONIO MARTINS GUIMARAES,891",DIVINOPOLIS / MG,3732297100,21.230.412/0001-98,2234637250030,,DISTRITO INDUSTRIAL CORONEL JOVELINO RABELO,,35502285,Ativo / Ativo,cr01@amaralincorp.com.br,,
189,PSF EMBALAGENS PLASTICAS LTDA,J,"R OSORIO DE MORAIS,1843",CONTAGEM / MG,3133335150,42.964.593/0001-56,1868262180065,,CIDADE INDUSTRIAL,,32210140,Ativo / Ativo,psf@psfembalagens.com.br,,
190,ELETRICA MAIA EIRELI EPP,J,"AV AMAZONAS,939",BELO HORIZONTE / MG,3121118210,20.516.654/0001-80,622708130047,,CENTRO,LOJA 201 I,30180000,Ativo / Ativo,jessica@lojadopaulo.com.br,,
191,BH ETIQUETAS LTDA - ME,J,"R DOS ATLETICANOS,54",BELO HORIZONTE / MG,3133360077,05.550.526/0001-69,622250940079,,MILIONARIOS (BARREIRO),,30620060,Ativo / Ativo,financeiro@bhetiquetas.com.br,,
192,DHCP INFORMATICA DO BRASIL LTDA,J,"R BIQUINHAS,182",BELO HORIZONTE / MG,3131160400,05.549.856/0001-34,622228540071,,BETANIA,,30580400,Ativo / Ativo,,,
193,INFORMATICA INBOX LTDA - EPP,J,"R TENENTE ROMUALDO,56",CONTAGEM / MG,3125592500,11.415.337/0001-86,21049460073,,NOSSA SENHORA DO CARMO,B,32017190,Ativo / Ativo,faturamento01@informaticainbox.com.br,,
194,COMERCIAL DAHANA LTDA - APOIO MINEIRO,J,"AV AVENIDA SILVA LOBO - DE 782 A 1110 - LADO PAR,1000",BELO HORIZONTE / MG,3133593286,00.070.509/0005-34,628853600453,,NOVA SUISSA,,30421198,Ativo / Ativo,,,
195,EMBALAGENS APEL LTDA - ME,J,"R PLATINA - DE 1022 A 1728 - LADO PAR,1650",BELO HORIZONTE / MG,3133711149,23.747.199/0001-11,625667940093,,CALAFATE,,30411330,Ativo / Ativo,,,
196,"CIA DO JEANS INDUSTRIA, COMERCIO E IMPORTACAO LTDA",J,"AV AV AMAZONAS,3647",BELO HORIZONTE / MG,3125358884,12.927.088/0002-51,19549290050,,BARROCA,: 1: ANDAR,30431061,Ativo / Inativo,producao@vilejack.com.br,,
197,G CARNEIRO  & RODRIGUES LTDA,J,"RUA R DR. GERVASIO,676",ACAILANDIA / MA,9935396236,20.425.812/0001-96,124395937,,CENTRO,,65930000,Ativo / Bloqueado,gcarneirorodrigues@gmail.com,,
198,J.N. VINATEX COMERCIO DE TECIDOS LTDA,J,"R R ALM BARROSO,469",SAO PAULO / SP,1126962488,32.602.701/0001-97,123536343115,,BRAS,,3025000,Ativo / Ativo,mnigro@outlook.com,,
199,MONTE NAPOLEONE TR MASC IND E COM ROUPAS,J,"AV UBERLANDIA,394",GOIANIA / GO,6232111200,31.561.767/0001-13,107392143,,VI ALTO DA GLORIA,QUADRA37                  LOTE  22/25,74815360,Ativo / Ativo,ulisses@gentlemen.com.br,,
200,FUNNY HONEY CONFECCOES LTDA,J,"R R AGOSTINHO GOMES,568",SAO PAULO / SP,1155495963,68.090.299/0001-56,113445052110,,IPIRANGA,,4206000,Ativo / Bloqueado,funnyhoney@funnyhoney.com.br,,
201,ACP FREITAS CONFECCOES,J,"R R CRUZ SALDANHA,420",FORTALEZA / CE,8532432568,07.239.427/0001-96,61774740,,PARQUELANDIA,ALTOS,60450340,Ativo / Inativo,kafkababy@hotmail.com,,
202,ALEXANDRE TADEU CARVALHO SAWAYA,J,"R R XAVANTES,94",SAO PAULO / SP,1133159197,16.803.087/0001-75,145609715118,,BRAS,,3027000,Ativo / Inativo,financeiro@bigshirts.com.br,,
203,ANDRE FEITOSA DE OLIVEIRA,J,"R R TEODORICO TOURINHO,304",TEOFILO OTONI / MG,3335225489,22.407.448/0001-67,25545300040,,CENTRO,,39800010,Ativo / Inativo,adm-feitosa@hotmail.com,,
204,APOIO FABRIL - EIRELI,J,"RUA SIDNEY BATISTA,89",SAO JOAO NEPOMUCENO / MG,32988871373,03.338.726/0001-27,6290435180010,,LOUDES,,36680000,Ativo / Ativo,estiloapoio@yahoo.com.br,,
205,ARAUJO TEXTIL LTDA,J,"R R MATO GROSSO,1584",DIVINOPOLIS / MG,3732151257,07.713.239/0001-58,5374308330069,,CENTRO,,35500027,Ativo / Inativo,araujotextil@ig.com.br,,
206,ARNOTEX LTDA,J,"R R CABO OTAVIO ARAGAO,233",SANTA CRUZ DO CAPIBARIBE / PE,8137321162,24.336.885/0001-62,6438075,,CENTRO,,55190001,Ativo / Inativo,arnotexltda@hotmail.com,,
207,ARO TECIDOS E AVIAMENTOS LTDA,J,"R R BUENOS AIRES,238",RIO DE JANEIRO / RJ,2122249901,12.138.276/0001-10,79303623,,CENTRO,,20061000,Ativo / Inativo,aroloja@yahoo.com.br,,
208,ART INDUSTRIA TEXTIL - EIRELI,J,"R R MARIA MARCOLINA,291",SAO PAULO / SP,1122914467,59.385.534/0001-26,118745597114,,BRAS,SLJ,3011001,Ativo / Inativo,antoniorogerio0571@gmail.com,,
209,ASSIS & SILVA IND E COM DE ROUPAS LTDA,J,"R R VF 15,73",GOIANIA / GO,6235214060,06.356.488/0002-51,104827696,,SETOR ALTO DO VALE,QUADRA15                  LOTE  11                  SALA  01,74594087,Ativo / Ativo,santorine2009@hotmail.com,,
210,ATX TECIDOS LTDA,J,"R CAVALHEIRO BASILIO JAFET,38",SAO PAULO / SP,1132283128,12.408.622/0001-32,147411132111,,CENTRO,ANDAR 7                   SALA  703,1022020,Ativo / Ativo,autotexunitecidos@uol.com.br,,
211,BASSTEXTIL LTDA,J,"AV SAO PAULO,191",GOIANIA / GO,6230925860,05.870.569/0001-21,103667601,,SETOR CAMPINAS,QUADRA 68 LOTE 09,74510030,Ativo / Inativo,basstextil@gmail.com,,
212,BE WELL COMERCIO INDUSTRIA DE CONFECCOES LTDA,J,"R MATO GROSSO,2465",DIVINOPOLIS / MG,3732225145,07.010.593/0001-16,2233235780069,,JARDIM NOVA AMERICA,,35500067,Ativo / Ativo,financeiro@bewell.com.br,,
213,BEATRIZ TELES FIRMINO 75034557134,J,"R R ALCOBACA,0",GOIANIA / GO,62991092353,29.302.310/0001-42,107130998,,RESIDENCIAL JARDIM LEBLON,QUADRA 1,74455367,Ativo / Inativo,guilherme@designtextecidos.com.br,,
214,BECO BAURU COMERCIO DE ARMARINHOS EIRELI,J,"R R AZARIAS LEITE,3",BAURU / SP,1440095220,45.867.876/0001-78,209034266110,,CENTRO,,17010250,Ativo / Inativo,renata.c.carvalho@hotmail.com,,
215,BY FOR MEN CAMISARIA LTDA,J,"R IRIS BRILHANTE,390",DIVINOPOLIS / MG,3732155663,17.364.083/0001-09,20774530073,,RANCHO ALEGRE,,35502449,Ativo / Ativo,byformen17364@gmail.com,,
216,CAMISARIA MAC ROSE LTDA,J,"R R ERICO VERISSIMO,1585",DIVINOPOLIS / MG,3732155663,10.561.879/0001-02,11047970058,,CATALAO,,35501200,Ativo / Ativo,camisariamacrose@live.com,,
217,CAMISARIA MALUVINA LTDA,J,"R SINFRONIO JOSE DE BESSA,94",DIVINOPOLIS / MG,3732229509,23.052.844/0001-81,26090200018,,DOUTOR JOSE THOMAZ,,35503102,Ativo / Ativo,camisariamaluvina@gmail.com,,
218,CASA PENA LTDA,J,"RUA R JOSE EUGENIO FERREIRA,59",BAEPENDI / MG,3533431197,04.610.976/0001-37,491394260043,,CENTRO,,37443000,Ativo / Inativo,casapena@netsulminas.com.br,,
219,CASA SIMAO TECIDOS HARARI LTDA,J,"R AV ATULFO DE PAIVA,932",RIO DE JANEIRO / RJ,2122744599,33.010.570/0001-11,81548757,,LEBLON,B E 944 A,22440000,Ativo / Inativo,casasimaotecidos@gmail.com,,
220,CATEDRAL TECIDOS LTDA,J,"R GENERAL BEZERRIL,48",FORTALEZA / CE,8532511137,86.878.170/0001-99,69271046,,CENTRO,,60055100,Ativo / Inativo,catedraltecidosfortaleza@gmail.com,,
221,AMOS INDUSTRIA E COMERCIO DO VESTUARIO LTDA,J,"R R JK,1207",DIVINOPOLIS / MG,3732147136,12.158.683/0001-99,16228980041,,BOM PASTOR,LOJA: 01,35500155,Ativo / Inativo,aleamaraldasilva@yahoo.com.br,,
222,CELIA E FERNANDES CONFECCOES LTDA,J,"R R 109 (CJ TUPAN MIRIM),138",FORTALEZA / CE,85987033459,28.538.507/0001-12,67445977,,PARQUE DOIS IRMAOS,,60744470,Ativo / Inativo,enirakcelia@gmail.com,,
223,CHRISTMAS EVANS KALLEY E SILVA,J,"AV AV BERNARDO SAYAO,663",GOIANIA / GO,62992906000,15.699.429/0001-96,105390119,,SET CENTRO OESTE,QUADRA26 LOTE 22,74560530,Ativo / Ativo,ebenezerbordados@hotmail.com,,
224,CLAUDINO S A LOJAS DE DEPARTAMENTOS,J,"R R HERMINIO CONDE,0",TERESINA / PI,8631315000,06.862.627/0100-10,193004151,,TABULETA,SUL,64019700,Ativo / Ativo,csaivan@armazemparaiba.com.br,,
225,COMERCIAL ISRAEL TECIDOS E ARMARINHO LTDA,J,"R R SAO SEBASTIAO,176",CARUARU / PE,8137242918,07.659.034/0002-12,37065912,,NOSSA SENHORA DAS DORES,TERREOPRIMEIRO A TERCEIRO,55004130,Ativo / Inativo,renatabarbosa19@hotmail.com,,
226,COMERCIO DE TECIDOS MORIB LTDA,J,"R AV BEIRA RIO,605",FOZ DO IGUACU / PR,4535287114,04.863.699/0001-74,9025420001,,VL PORTES,SL 02,85854562,Ativo / Inativo,textilbeirario@hotmail.com,,
227,CONFECCAO E FACCAO JF LTDA,J,"RUA R 61,0",ITAPURANGA / GO,62985814701,17.650.926/0001-25,105585157,,PARQUE ALVORADA,QUADRA27 LOTE 5,76680000,Ativo / Ativo,contatocamisariajf@gmail.com,,
228,CONFECCOES BADEN LTDA,J,"R R JOAQUIM LUCIO,66",PARA DE MINAS / MG,3732362663,22.183.917/0001-01,4714720140005,,DOM BOSCO,,35661226,Ativo / Inativo,gustavodutra225@hotmail.com,,
229,CONFECCOES DELUCCA LTDA,J,"ROD ROD GOVERNADOR JORGE LACERDA,1350",CRICIUMA / SC,4834618888,83.668.657/0001-59,250011115,,UNIVERSITARIO,KM 01,88805350,Ativo / Ativo,compras@deluccaconfeccoes.com.br,,
